ticker,name,weight,sector,location,lon,lat
CRM,Salesforce.com Inc,0.43277,Technology,Salesforce.com corporate headquarters,-105.1710262,39.9629369
COST,Costco Wholesale Corp,0.43164,Consumer Defensive,Costco Wholesale corporate headquarters,-122.0506496,47.5486092
AMGN,Amgen Inc,0.42846,Healthcare,Amgen corporate headquarters,-118.919477,34.192136
PM,Philip Morris International Inc,0.42633,Consumer Defensive,Philip Morris International corporate headquarters,-73.9782981,40.7518892
ABBV,AbbVie Inc,0.42411,Healthcare,AbbVie corporate headquarters,-87.83787939999999,42.33401780000001
HON,Honeywell International Inc,0.42285,Industrials,Honeywell International corporate headquarters,-112.0411165,33.4424419
ORCL,Oracle Corp,0.40926,Technology,Oracle corporate headquarters,-78.8356376,35.861872
ACN,Accenture PLC Class A,0.40592,Technology,Accenture corporate headquarters,-87.63069209999999,41.8847953
UNP,Union Pacific Corp,0.40384,Industrials,Union Pacific corporate headquarters,-95.93513659999999,41.25918780000001
NFLX,Netflix Inc,0.4021,Communication Services,Netflix corporate headquarters,-121.962695,37.2595658
PYPL,PayPal Holdings Inc,0.39607,Financial Services,PayPal Holdings corporate headquarters,-121.9226707,37.3764134
TMO,Thermo Fisher Scientific Inc,0.39578,Healthcare,Thermo Fisher Scientific corporate headquarters,-80.2136426,40.46976009999999
UTX,United Technologies Corp,0.39197,Industrials,United Technologies corporate headquarters,-72.80407079999999,41.7122183
AVGO,Broadcom Inc,0.39113,Technology,Broadcom corporate headquarters,-121.9295935,37.4005452
IBM,International Business Machines Corp,0.38569,Technology,International Business Machines corporate headquarters,-73.7204677,41.1083018
NVDA,NVIDIA Corp,0.3855,Technology,NVIDIA corporate headquarters,-121.9671894,37.3706254
NKE,Nike Inc B,0.37139,Consumer Cyclical,Nike B corporate headquarters,-122.8281466,45.5077764
LIN,Linde PLC,0.36834,Basic Materials,Linde corporate headquarters,-74.6265653,40.586117
NEE,NextEra Energy Inc,0.35834,Utilities,NextEra Energy corporate headquarters,-95.3639546,29.7601351
TXN,Texas Instruments Inc,0.35801,Technology,Texas Instruments corporate headquarters,-96.74892609999999,32.9254144
QCOM,Qualcomm Inc,0.35746,Technology,Qualcomm corporate headquarters,-117.1955984,32.8960756
SBUX,Starbucks Corp,0.32622,Consumer Cyclical,Starbucks corporate headquarters,-87.63938309999999,41.8836041
GE,General Electric Co,0.32271,Industrials,General Electricorporate headquarters,-71.04784699999999,42.351941
LLY,Eli Lilly and Co,0.31516,Healthcare,Eli Lilly ancorporate headquarters,-86.1530808,39.7559112
LMT,Lockheed Martin Corp,0.31511,Industrials,Lockheed Martin corporate headquarters,-77.138944,39.03099
CVS,CVS Health Corp,0.3123,Healthcare,CVS Health corporate headquarters,-111.8760654,33.5810829
MMM,3M Co,0.31134,Industrials,3corporate headquarters,-82.6695733,27.8924192
BMY,Bristol-Myers Squibb Company,0.31034,Healthcare,Bristol-Myers Squibb Company corporate headquarters,-73.9728271,40.7580858
AMT,American Tower Corp,0.30337,Real Estate,American Tower corporate headquarters,-71.079981,42.346449
DHR,Danaher Corp,0.29475,Healthcare,Danaher corporate headquarters,-77.04934039999999,38.901756
LOW,Lowe's Companies Inc,0.29314,Consumer Cyclical,Lowe's Companies corporate headquarters,-80.8539024,35.541958
MO,Altria Group Inc,0.29042,Consumer Defensive,Altria Group corporate headquarters,-77.51787139999999,37.6024176
UPS,United Parcel Service Inc Class B,0.27977,Industrials,United Parcel Service corporate headquarters,-84.3602082,33.9431979
USB,U.S. Bancorp,0.27383,Financial Services,U.S. Bancorp corporate headquarters,-93.1493469,44.9689182
GILD,Gilead Sciences Inc,0.26885,Healthcare,Gilead Sciences corporate headquarters,-122.2816328,37.5669611
FIS,Fidelity National Information Services Inc,0.2682,Technology,Fidelity National Information Services corporate headquarters,-81.67445939999999,30.3183083
AXP,American Express Co,0.26739,Financial Services,American Exprescorporate headquarters,-74.01527209999999,40.7134455
CAT,Caterpillar Inc,0.25687,Industrials,Caterpillar corporate headquarters,-87.8408682,42.1556838
BKNG,Booking Holdings Inc,0.25368,Consumer Cyclical,Booking Holdings corporate headquarters,NA,NA
CELG,Celgene Corp,0.25053,Healthcare,Celgene corporate headquarters,-74.3452692,40.7090186
ANTM,Anthem Inc,0.24837,Healthcare,Anthem corporate headquarters,-88.2320149,43.0565156
CHTR,Charter Communications Inc A,0.24596,Communication Services,Charter Communications corporate headquarters,-92.50748279999999,44.0827592
MDLZ,Mondelez International Inc Class A,0.24288,Consumer Defensive,Mondelez International corporate headquarters,-87.8798687,42.162767
ADP,Automatic Data Processing Inc,0.24099,Industrials,Automatic Data Processing corporate headquarters,-74.31007,40.8155809
CI,Cigna Corp,0.23661,Healthcare,Cigna corporate headquarters,-112.1147185,33.7166054
TJX,TJX Companies Inc,0.23536,Consumer Cyclical,TJX Companies corporate headquarters,-79.6824779,43.6254672
CME,CME Group Inc Class A,0.23425,Financial Services,CME Group corporate headquarters,-87.6414411,41.8833411
GS,Goldman Sachs Group Inc,0.23087,Financial Services,Goldman Sachs Group corporate headquarters,-74.0144025,40.714828
SYK,Stryker Corp,0.22923,Healthcare,Stryker corporate headquarters,-79.92047219999999,43.3210457
CB,Chubb Ltd,0.22323,Financial Services,Chubb corporate headquarters,-74.5892322,40.647651
PNC,PNC Financial Services Group Inc,0.21637,Financial Services,PNC Financial Services Group corporate headquarters,-80.00048,40.441313
BDX,"Becton, Dickinson and Co",0.21551,Healthcare,"Becton, Dickinson ancorporate headquarters",-74.21071529999999,41.0169734
INTU,Intuit Inc,0.21464,Technology,Intuit corporate headquarters,-122.0960646,37.4306146
D,Dominion Energy Inc,0.21328,Utilities,Dominion Energy corporate headquarters,-76.5434331,37.416107
ISRG,Intuitive Surgical Inc,0.21152,Healthcare,Intuitive Surgical corporate headquarters,-122.0039765,37.3730655
COP,ConocoPhillips,0.20986,Energy,ConocoPhillips corporate headquarters,-95.6184547,29.7828103
SO,Southern Co,0.2098,Utilities,Southercorporate headquarters,-77.5085974,37.6021727
SPGI,S&P Global Inc,0.20966,Financial Services,S&P Global corporate headquarters,-95.63501819999999,37.035910199999996
DUK,Duke Energy Corp,0.20913,Utilities,Duke Energy corporate headquarters,-80.8493633,35.225073
FISV,Fiserv Inc,0.20728,Financial Services,Fiserv corporate headquarters,-88.14094380000002,43.0338095
RTN,Raytheon Co,0.19755,Industrials,Raytheocorporate headquarters,-71.282688,42.4057975
AGN,Allergan PLC,0.19431,Healthcare,Allergan corporate headquarters,-117.8542833,33.6719117
BSX,Boston Scientific Corp,0.18955,Healthcare,Boston Scientific corporate headquarters,-71.5615488,42.3611457
MS,Morgan Stanley,0.18859,Financial Services,Morgan Stanley corporate headquarters,-73.9855809,40.7597472
BLK,BlackRock Inc,0.18799,Financial Services,BlackRock corporate headquarters,-117.4869244,34.0620594
AMAT,Applied Materials Inc,0.1878,Technology,Applied Materials corporate headquarters,-121.9787818,37.3776247
ITW,Illinois Tool Works Inc,0.1837,Industrials,Illinois Tool Works corporate headquarters,-87.8041219,42.0579748
NOC,Northrop Grumman Corp,0.18283,Industrials,Northrop Grumman corporate headquarters,-77.2148893,38.8671114
ZTS,Zoetis Inc Class A,0.1822,Healthcare,Zoetis corporate headquarters,-74.44477719999999,40.8470715
TGT,Target Corp,0.18206,Consumer Defensive,Target corporate headquarters,-93.27591699999999,44.973783
PLD,Prologis Inc,0.18109,Real Estate,Prologis corporate headquarters,-104.9968463,39.7532096
CCI,Crown Castle International Corp,0.18017,Real Estate,Crown Castle International corporate headquarters,-95.4831109,29.7546665
CL,Colgate-Palmolive Co,0.18002,Consumer Defensive,Colgate-Palmolivcorporate headquarters,-73.9744887,40.7569147
DE,Deere & Co,0.17943,Industrials,Deere & Co corporate headquarters,-95.5839379,37.0978563
CSX,CSX Corp,0.17651,Industrials,CSX corporate headquarters,-81.6640579,30.32452109999999
VRTX,Vertex Pharmaceuticals Inc,0.17389,Healthcare,Vertex Pharmaceuticals corporate headquarters,-71.0457493,42.3541811
GPN,Global Payments Inc,0.17265,Industrials,Global Payments corporate headquarters,-84.36713999999999,33.852236
MMC,Marsh & McLennan Companies Inc,0.17256,Financial Services,Marsh & McLennan Companies corporate headquarters,-95.98898899999999,36.15276
APD,Air Products & Chemicals Inc,0.17191,Basic Materials,Air Products & Chemicals corporate headquarters,-95.0697545,29.7008323
PSX,Phillips 66,0.1719,Energy,Phillips 66 corporate headquarters,-95.5609181,29.7405404
MU,Micron Technology Inc,0.17059,Technology,Micron Technology corporate headquarters,-116.1493734,43.5308775
SCHW,Charles Schwab Corp,0.16836,Financial Services,Charles Schwab corporate headquarters,-97.7117411,30.3996706
BIIB,Biogen Inc,0.16811,Healthcare,Biogen corporate headquarters,-74.5949835,40.3625
ICE,Intercontinental Exchange Inc,0.16706,Financial Services,Intercontinental Exchange corporate headquarters,-84.43074879999999,33.9088822
EW,Edwards Lifesciences Corp,0.16485,Healthcare,Edwards Lifesciences corporate headquarters,-117.8517225,33.6984047
NSC,Norfolk Southern Corp,0.16435,Industrials,Norfolk Southern corporate headquarters,-84.3840324,33.7876781
DD,DuPont de Nemours Inc,0.16392,Basic Materials,DuPont de Nemours corporate headquarters,-75.5707276,39.77368740000001
XTSLA,BlackRock Cash Funds Treasury SL Agency,0.16213,NA,BlackRock Cash Funds Treasury SL Agency corporate headquarters,NA,NA
TSLA,Tesla Inc,0.1604,Consumer Cyclical,Tesla corporate headquarters,-122.1503251,37.3947057
SLB,Schlumberger Ltd,0.15875,Energy,Schlumberger corporate headquarters,-95.55018129999999,29.7233983
SHW,Sherwin-Williams Co,0.15871,Basic Materials,Sherwin-Williamcorporate headquarters,-81.6924784,41.4973117
NOW,ServiceNow Inc,0.15704,Technology,ServiceNow corporate headquarters,-96.8224269,32.9627995
ECL,Ecolab Inc,0.15621,Basic Materials,Ecolab corporate headquarters,-93.0977331,44.946551
WM,Waste Management Inc,0.15442,Industrials,Waste Management corporate headquarters,-96.9762811,33.0191403
GD,General Dynamics Corp,0.15418,Industrials,General Dynamics corporate headquarters,-77.2133613,38.8684806
WBA,Walgreens Boots Alliance Inc,0.1535,Healthcare,Walgreens Boots Alliance corporate headquarters,-87.86876099999999,42.1555553
SPG,Simon Property Group Inc,0.15327,Real Estate,Simon Property Group corporate headquarters,-86.1621681,39.7669989
AIG,American International Group Inc,0.15142,Financial Services,American International Group corporate headquarters,-74.0068218,40.7061616
AON,Aon PLC,0.15071,Financial Services,Aon corporate headquarters,-87.9454279,42.1892329
EQIX,Equinix Inc,0.14912,Real Estate,Equinix corporate headquarters,-122.26131,37.527412
GM,General Motors Co,0.14803,Consumer Cyclical,General Motorcorporate headquarters,-83.0389582,42.3288313
COF,Capital One Financial Corp,0.14696,Financial Services,Capital One Financial corporate headquarters,-77.213291,38.9242
HUM,Humana Inc,0.14622,Healthcare,Humana corporate headquarters,-85.7586561,38.2565324
EMR,Emerson Electric Co,0.14583,Industrials,Emerson Electricorporate headquarters,-90.2790342,38.7315866
ILMN,Illumina Inc,0.14547,Healthcare,Illumina corporate headquarters,-117.1989292,32.8710841
KMB,Kimberly-Clark Corp,0.14523,Consumer Defensive,Kimberly-Clark corporate headquarters,-88.4795158,44.144216
LHX,L3Harris Technologies Inc,0.14465,Industrials,L3Harris Technologies corporate headquarters,-111.9527848,40.7835097
AEP,American Electric Power Co Inc,0.1431,Utilities,American Electric Powecorporate headquarters,-95.84336290000002,35.9883159
EXC,Exelon Corp,0.14117,Utilities,Exelon corporate headquarters,-87.630245,41.8815962
EOG,EOG Resources Inc,0.13794,Energy,EOG Resources corporate headquarters,-95.37080189999999,29.7587886
MPC,Marathon Petroleum Corp,0.13763,Energy,Marathon Petroleum corporate headquarters,-98.4595894,29.6149086
PGR,Progressive Corp,0.13741,Financial Services,Progressive corporate headquarters,-81.4510051,41.5358491
VLO,Valero Energy Corp,0.1358,Energy,Valero Energy corporate headquarters,-98.60540619999999,29.5860851
BBT,BB&T Corp,0.13549,Financial Services,BB&T corporate headquarters,-94.5746176,38.9727969
DG,Dollar General Corp,0.13445,Consumer Defensive,Dollar General corporate headquarters,-86.69906499999999,36.3090261
ADI,Analog Devices Inc,0.13437,Technology,Analog Devices corporate headquarters,-121.9724749,37.3828036
DOW,Dow Inc,0.13312,Basic Materials,Dow corporate headquarters,-84.2003141,43.6161469
LRCX,Lam Research Corp,0.1326,Technology,Lam Research corporate headquarters,-121.9567162,37.48990209999999
EL,The Estee Lauder Companies Inc Class A,0.13225,Consumer Defensive,The Estee Lauder Companies corporate headquarters,-73.9723018,40.7635573
ROST,Ross Stores Inc,0.13197,Consumer Cyclical,Ross Stores corporate headquarters,-121.8899081,37.7103011
BK,Bank of New York Mellon Corp,0.13195,Financial Services,Bank of New York Mellon corporate headquarters,-74.0117809,40.714291
ATVI,Activision Blizzard Inc,0.13142,Communication Services,Activision Blizzard corporate headquarters,-118.4524457,34.0198026
AFL,Aflac Inc,0.12991,Financial Services,Aflac corporate headquarters,-84.966596,32.468565
SRE,Sempra Energy,0.12924,Utilities,Sempra Energy corporate headquarters,-117.157731,32.71003
KMI,Kinder Morgan Inc Class P,0.12898,Energy,Kinder Morgan Class P corporate headquarters,-98.67864589999999,46.9210686
BAX,Baxter International Inc,0.12708,Healthcare,Baxter International corporate headquarters,-87.8772437,42.1594315
MET,MetLife Inc,0.12641,Financial Services,MetLife corporate headquarters,-82.5111787,27.965761
SYY,Sysco Corp,0.12601,Consumer Defensive,Sysco corporate headquarters,-95.6197026,29.7591048
ETN,Eaton Corp PLC,0.12561,Industrials,Eaton corporate headquarters,-81.50391789999999,41.455556
AMD,Advanced Micro Devices Inc,0.12528,Technology,Advanced Micro Devices corporate headquarters,-121.9703842,37.3829254
FDX,FedEx Corp,0.12364,Industrials,FedEx corporate headquarters,-96.83685400000002,33.083866
PRU,Prudential Financial Inc,0.12305,Financial Services,Prudential Financial corporate headquarters,-74.166865,40.7249896
NA,Usd Cash,0.12094,NA,Usd Cash corporate headquarters,-95.3634867,29.7579348
HCA,HCA Healthcare Inc,0.12052,Healthcare,HCA Healthcare corporate headquarters,-86.8138175,36.1536774
MAR,Marriott International Inc Class A,0.12045,Consumer Cyclical,Marriott International corporate headquarters,-77.138038,39.024758
ALL,Allstate Corp,0.11825,Financial Services,Allstate corporate headquarters,-80.035279,37.326409
MCO,Moody's Corporation,0.11711,Financial Services,Moody's Corporation corporate headquarters,-122.3987815,37.7918848
ADSK,Autodesk Inc,0.11528,Technology,Autodesk corporate headquarters,-122.5306773,38.0054203
ROP,Roper Technologies Inc,0.11459,Industrials,Roper Technologies corporate headquarters,-82.4320625,27.3838405
TRV,The Travelers Companies Inc,0.11313,Financial Services,The Travelers Companies corporate headquarters,-73.97358700000001,40.7542603
OXY,Occidental Petroleum Corp,0.11306,Energy,Occidental Petroleum corporate headquarters,-95.4321022,29.7305064
CTSH,Cognizant Technology Solutions Corp A,0.11298,Technology,Cognizant Technology Solutions corporate headquarters,-96.2460467,30.5588023
F,Ford Motor Co,0.11297,Consumer Cyclical,Ford Motocorporate headquarters,-83.21011730000001,42.3145851
WELL,Welltower Inc,0.11014,Real Estate,Welltower corporate headquarters,-73.9784501,40.76193079999999
JCI,Johnson Controls International PLC,0.10929,Industrials,Johnson Controls International corporate headquarters,-87.936988,43.123943
ORLY,O'Reilly Automotive Inc,0.10864,Consumer Cyclical,O'Reilly Automotive corporate headquarters,-93.2484941,37.2079256
DAL,Delta Air Lines Inc,0.10734,Industrials,Delta Air Lines corporate headquarters,-84.4221987,33.6562298
EQR,Equity Residential,0.10251,Real Estate,Equity Residential corporate headquarters,-87.6391332,41.8825622
GIS,General Mills Inc,0.10209,Consumer Defensive,General Mills corporate headquarters,-93.3979445,44.9767123
PSA,Public Storage,0.1019,Real Estate,Public Storage corporate headquarters,-95.5362031,30.0851922
XEL,Xcel Energy Inc,0.10157,Utilities,Xcel Energy corporate headquarters,-93.2705091,44.97957539999999
STI,SunTrust Banks Inc,0.10149,Financial Services,SunTrust Banks corporate headquarters,-84.3867595,33.7626932
IR,Ingersoll-Rand PLC,0.10054,Industrials,Ingersoll-Rand corporate headquarters,-80.8474998,35.5115379
NEM,Newmont Goldcorp Corp,0.09977,Basic Materials,Newmont Goldcorp corporate headquarters,-104.8925437,39.6012257
PEG,Public Service Enterprise Group Inc,0.09975,Utilities,Public Service Enterprise Group corporate headquarters,-74.1680642,40.7370367
PPG,PPG Industries Inc,0.09911,Basic Materials,PPG Industries corporate headquarters,-80.0035439,40.439894
HPQ,HP Inc,0.09849,Technology,HP corporate headquarters,-97.69132429999999,30.4468534
YUM,Yum Brands Inc,0.09768,Consumer Cyclical,Yum Brands corporate headquarters,-85.6957304,38.198017
ZBH,Zimmer Biomet Holdings Inc,0.09701,Healthcare,Zimmer Biomet Holdings corporate headquarters,-81.657749,30.478354
APH,Amphenol Corp Class A,0.09671,Technology,Amphenol corporate headquarters,-72.833322,41.460139
AVB,AvalonBay Communities Inc,0.09649,Real Estate,AvalonBay Communities corporate headquarters,-77.1114515,38.8786257
ED,Consolidated Edison Inc,0.09453,Utilities,Consolidated Edison corporate headquarters,-73.98789459999999,40.7340768
OKE,ONEOK Inc,0.09446,Energy,ONEOK corporate headquarters,-97.58082979999999,34.8330675
AZO,AutoZone Inc,0.09268,Consumer Cyclical,AutoZone corporate headquarters,-90.0561333,35.1420009
STZ,Constellation Brands Inc A,0.09228,Consumer Defensive,Constellation Brands corporate headquarters,-87.6291427,41.8798125
CMI,Cummins Inc,0.09182,Industrials,Cummins corporate headquarters,-85.922938,39.203761
KLAC,KLA Corp,0.09177,Technology,KLA corporate headquarters,-121.924156,37.4207877
REGN,Regeneron Pharmaceuticals Inc,0.09173,Healthcare,Regeneron Pharmaceuticals corporate headquarters,-73.862071,41.114966
INFO,IHS Markit Ltd,0.09172,Industrials,IHS Markit corporate headquarters,-73.9991928,40.7533761
EA,Electronic Arts Inc,0.09166,Communication Services,Electronic Arts corporate headquarters,-122.2541438,37.5232794
HLT,Hilton Worldwide Holdings Inc,0.09138,Consumer Cyclical,Hilton Worldwide Holdings corporate headquarters,-77.21512310000001,38.92809219999999
EBAY,eBay Inc,0.09071,Consumer Cyclical,eBay corporate headquarters,-121.9275096,37.295469
LUV,Southwest Airlines Co,0.09039,Industrials,Southwest Airlinecorporate headquarters,-96.8623949,32.8452861
TROW,T. Rowe Price Group Inc,0.09037,Financial Services,T. Rowe Price Group corporate headquarters,-76.6127939,39.286925599999996
WEC,WEC Energy Group Inc,0.08965,Utilities,WEC Energy Group corporate headquarters,-87.6215028,41.8852412
MCK,McKesson Corp,0.08877,Healthcare,McKesson corporate headquarters,-96.9728813,32.8976264
TDG,TransDigm Group Inc,0.08855,Industrials,TransDigm Group corporate headquarters,-81.68969050000001,41.5050126
PCAR,PACCAR Inc,0.08827,Industrials,PACCAR corporate headquarters,-122.1997509,47.6170064
WMB,Williams Companies Inc,0.08807,Energy,Williams Companies corporate headquarters,-95.9906814,36.155117
PAYX,Paychex Inc,0.08763,Industrials,Paychex corporate headquarters,-77.49238869999999,43.1250668
DFS,Discover Financial Services,0.08694,Financial Services,Discover Financial Services corporate headquarters,-75.61010759999999,39.6870683
STT,State Street Corporation,0.08682,Financial Services,State Street Corporation corporate headquarters,-71.05844429999999,42.35272579999999
VFC,VF Corp,0.08681,Consumer Cyclical,VF corporate headquarters,-79.798901,36.122155
MSI,Motorola Solutions Inc,0.08662,Technology,Motorola Solutions corporate headquarters,-76.6819586,39.2122047
WDAY,Workday Inc Class A,0.08605,Technology,Workday corporate headquarters,-121.9266266,37.6984925
SBAC,SBA Communications Corp,0.08552,Real Estate,SBA Communications corporate headquarters,-80.0963372,26.419557
IQV,IQVIA Holdings Inc,0.08545,Healthcare,IQVIA Holdings corporate headquarters,-74.4089376,40.86378970000001
ES,Eversource Energy,0.08523,Utilities,Eversource Energy corporate headquarters,-72.72597669999999,41.6496978
TSN,Tyson Foods Inc Class A,0.08451,Consumer Defensive,Tyson Foods corporate headquarters,-94.15422129999999,36.1540738
DLTR,Dollar Tree Inc,0.0831,Consumer Defensive,Dollar Tree corporate headquarters,-76.2419894,36.7685815
LULU,Lululemon Athletica Inc,0.0828,Consumer Cyclical,Lululemon Athletica corporate headquarters,-123.1468993,49.271976
LYB,LyondellBasell Industries NV,0.08267,Basic Materials,LyondellBasell Industries NV corporate headquarters,-95.36242899999999,29.7561692
PH,Parker Hannifin Corp,0.08158,Industrials,Parker Hannifin corporate headquarters,-81.4611707,41.5065902
FLT,Fleetcor Technologies Inc,0.08148,Technology,Fleetcor Technologies corporate headquarters,-84.2242842,33.97307290000001
FE,FirstEnergy Corp,0.08118,Utilities,FirstEnergy corporate headquarters,-81.5183258,41.083384
DLR,Digital Realty Trust Inc,0.08015,Real Estate,Digital Realty Trust corporate headquarters,-122.396231,37.795309
O,Realty Income Corp,0.07981,Real Estate,Realty Income corporate headquarters,-117.2375652,32.9372795
SYF,Synchrony Financial,0.0795,Financial Services,Synchrony Financial corporate headquarters,-81.3969596,28.6406309
EIX,Edison International,0.07946,Utilities,Edison International corporate headquarters,-118.0806461,34.0540475
TMUS,T-Mobile US Inc,0.07938,Communication Services,T-Mobile US corporate headquarters,-122.1654623,47.5786262
WLTW,Willis Towers Watson PLC,0.07915,Financial Services,Willis Towers Watson corporate headquarters,-73.97890939999999,40.7545709
PPL,PPL Corp,0.07888,Utilities,PPL corporate headquarters,-75.55660019999999,40.5929777
A,Agilent Technologies Inc,0.07856,Healthcare,Agilent Technologies corporate headquarters,-121.998857,37.3248859
ADM,Archer-Daniels Midland Co,0.0776,Consumer Defensive,Archer-Daniels Midlancorporate headquarters,-88.8872619,39.8651177
XLNX,Xilinx Inc,0.07725,Technology,Xilinx corporate headquarters,-121.9363016,37.2529087
APTV,Aptiv PLC,0.07715,Consumer Cyclical,Aptiv corporate headquarters,-83.1620215,42.6025648
SWK,Stanley Black & Decker Inc,0.07691,Industrials,Stanley Black & Decker corporate headquarters,-72.8082988,41.6934178
CNC,Centene Corp,0.07617,Healthcare,Centene corporate headquarters,-90.3345013,38.6495116
ROK,Rockwell Automation Inc,0.07556,Industrials,Rockwell Automation corporate headquarters,-80.2956989,43.3599522
ALXN,Alexion Pharmaceuticals Inc,0.07523,Healthcare,Alexion Pharmaceuticals corporate headquarters,-72.9317535,41.304215
ETR,Entergy Corp,0.07509,Utilities,Entergy corporate headquarters,-90.07683019999999,29.9489612
PANW,Palo Alto Networks Inc,0.07497,Technology,Palo Alto Networks corporate headquarters,-121.9826432,37.3836462
HPE,Hewlett Packard Enterprise Co,0.07447,Technology,Hewlett Packard Enterpriscorporate headquarters,-122.1465855,37.4158716
GLW,Corning Inc,0.0737,Technology,Corning corporate headquarters,-77.0558823,42.1453767
PXD,Pioneer Natural Resources Co,0.07276,Energy,Pioneer Natural Resourcecorporate headquarters,-96.9388561,32.8712639
MNST,Monster Beverage Corp,0.07276,Consumer Defensive,Monster Beverage corporate headquarters,-117.5132044,33.8866423
VRSK,Verisk Analytics Inc,0.07267,Industrials,Verisk Analytics corporate headquarters,-74.0353074,40.7277521
DTE,DTE Energy Co,0.07262,Utilities,DTE Energcorporate headquarters,-83.0575473,42.3336164
AME,AMETEK Inc,0.07203,Industrials,AMETEK corporate headquarters,-75.4635457,40.0618853
HIG,The Hartford Financial Services Group Inc,0.0717,Financial Services,The Hartford Financial Services Group corporate headquarters,-72.6870864,41.7696634
TWTR,Twitter Inc,0.07137,Communication Services,Twitter corporate headquarters,-122.4172004,37.7764685
IDXX,IDEXX Laboratories Inc,0.07121,Healthcare,IDEXX Laboratories corporate headquarters,-70.3756724,43.6627538
SQ,Square Inc A,0.07105,Technology,Square corporate headquarters,-84.33197,33.835404
FITB,Fifth Third Bancorp,0.07079,Financial Services,Fifth Third Bancorp corporate headquarters,-84.4076054,39.16951030000001
MCHP,Microchip Technology Inc,0.07078,Technology,Microchip Technology corporate headquarters,-111.8819392,33.3049625
MTB,M&T Bank Corp,0.07076,Financial Services,M&T Bank corporate headquarters,-95.61636639999999,37.0373074
